taken from https://www.bfs.admin.ch/bfs/de/home/statistiken/bevoelkerung/geburten-todesfaelle/vornamen-schweiz.assetdetail.5946318.html
Adlina	3	*
Adline	8	*
Adly	*	7
Adma	3	*
Admilson	*	4
Admin	*	9
Admir	*	469
Admira	99	*
Admire	21	*
Admirim	*	7
Adna	92	*
Adnan	*	1'212
Adnana	9	*
Adnand	*	3
Adnane	*	16
Adnela	3	*
Adnen	*	5
Adnene	*	4
Adni	*	9
Adnit	*	22
Adnon	*	5
Ado	*	25
Adoindo	*	3
Adolf	*	2'254
Adolfa	3	*
Adolfina	22	*
Adolfine	29	*
Adolfo	*	273
Adolph	*	8
Adolphe	*	69
Adolphine	6	*
Adolphus	*	3
Adom	*	6
Adomas	*	4
Adon	*	4
Adonai	*	15
Adonay	*	59
Adonaï	*	5
Adonella	7	*
Adoni	*	4
Adonia	10	3
Adonias	*	3
Adonina	3	*
Adonis	*	186
Adonisa	12	*
Adonit	*	8
Adony	*	3
Ador	*	5
Adora	8	*
Adoracion	20	*
Adosinda	27	*
Adozinda	7	*
Adra	5	*
Adrean	*	8
Adri	*	10
Adria	31	5
Adriaan	*	62
Adrian	*	16'797
Adrian-Cristian	*	3
Adriana	3'874	*
Adriana-Maria	4	*
Adriane	60	*
Adriani	3	*
Adriann	*	4
Adrianna	51	*
Adrianne	20	*
Adriano	*	2'525
Adrianos	*	3
Adrianus	*	68
Adriatik	*	87
Adriel	*	85
Adriele	4	4
Adriella	3	*
Adrielle	5	*
Adrielly	5	*
Adriely	4	*
Adrien	*	2'985
Adriene	3	*
Adrienn	99	*
Adrienne	752	*
Adrija	4	*
Adrijan	*	90
Adrijana	144	*
Adrijatik	*	4
Adrijeta	3	*
Adrijon	*	3
Adrin	*	3
Adrina	8	*
Adrine	3	*
Adrion	*	4
Adris	*	3
Adrit	*	3
Adrita	5	*
Adriyan	*	3
Adrià	*	9
Adriàn	*	3
Adrián	*	96
Adriána	21	*
Adriël	*	3
Adryan	*	11
Adryen	*	4
Adsaya	11	*
Adshara	5	*
Adshaya	8	*
Adshayaa	3	*
Adshayan	*	10
Adson	*	3
Adua	24	*
Adugna	*	3
Adul	*	4
Adula	4	*
Adulai	*	11
Adunia	3	*
Adurim	*	4
Adva	3	*
Advait	*	6
Advaith	*	3
Advan	*	23
Advay	*	7
Advie	15	*
Advija	27	*
Advije	107	*
Advik	*	6
Adviye	5	*
Adwin	*	3
Adwoa	10	*
Ady	*	3
Adya	4	*
Adyam	23	*
Adyan	*	13
Adzer	7	*
Adzere	10	*
Adzi	*	5
Adzije	4	*
Adzo	4	*
Adzovi	3	*
Adžer	3	*
Adám	*	6
Adán	*	4
Adão	*	69
Adèle	457	*
Adél	24	*
Adéla	32	*
Adélaide	12	*
Adélaïde	69	*
Adéle	3	*
Adélia	88	*
Adélie	72	*
Adéline	10	*
Adélio	*	25
Adérito	*	72
Adília	13	*
Ae	7	*
Aedan	*	25
Aedo	*	3
Aegidius	*	10
Ael	*	7
Aela	72	*
Aelia	12	*
Aelita	8	*
Aelys	5	*
Aemilia	5	*
Aemilian	*	3
Aena	3	*
Aenea	5	7
Aeneas	*	73
Aenny	4	*
Aerin	3	*
Aeron	*	3
Aesha	7	*
Aeshah	3	*
Afaaf	3	*
Afaf	25	*
Afan	*	16
Afef	16	*
Afeni	4	*
Aferdit	4	*
Aferdita	572	*
Aferdite	24	*
Aferditë	7	*
Afet	3	42
Afete	9	*
Afewerki	*	31
Afework	*	4
Afeworki	*	3
Affaf	5	*
Affan	*	6
Affi	3	*
Affoue	10	*
Affoué	14	*
Afi	33	*
Afia	16	*
Afiavi	3	*
Afid	*	3
Afida	4	*
Afiet	4	*
Afif	*	20
Afifa	16	*
Afife	5	*
Afije	48	*
Afijet	6	*
Afijeta	4	*
Afijete	5	*
Afina	4	*
Afir	*	3
Afis	*	3
Afit	*	4
Afiwa	10	*
Afiz	*	14
Afiza	7	*
Afize	17	*
Afmet	*	3
Afnaan	4	*
Afnan	15	3
Afom	*	5
Afomia	10	*
Afonso	*	465
Afra	112	*
Afraa	5	*
Afrah	42	*
Afram	*	9
Afrdita	148	*
Afredita	3	*
Africa	24	*
Afrije	8	*
Afrim	*	894
Afrime	35	*
Afrin	4	*
Afrodita	58	*
Afrodite	5	*
Afroditi	39	*
Afrodité	4	*
Afron	*	9
Afrona	9	*
Afrora	8	*
Afrore	17	*
Afroza	8	*
Afsana	4	*
Afsaneh	25	*
Afsar	3	*
Afshan	14	*
Afsheen	3	*
Afshin	*	24
Aftab	*	9
Afua	7	*
Afz	*	4
Afzal	*	11
Afërdita	216	*
Afërditë	3	*
Aga	3	10
Agaash	*	3
Agaliya	3	*
Agalya	4	*
Agan	*	95
Agape	4	*
Agapi	13	*
Agapios	*	5
Agapita	3	*
Agapito	*	6
Agar	3	*
Agarshan	*	3
Agash	*	18
Agastya	*	11
Agata	639	*
Agate	6	*
Agath	3	*
Agatha	1'181	*
Agathe	717	*
Agathi	3	*
Agatina	59	*
Agatino	*	55
Agavni	7	*
Agazio	*	19
Agda	4	*
Age	46	*
Ageeth	3	*
Ageliki	4	*
Agen	*	3
Ageta	4	*
Aggeliki	3	*
Aggelos	*	7
Aggi	3	*
Agha	*	8
Aghiles	*	3
Agi	4	*
Agica	3	*
Agid	*	15
Agilan	*	5
Agim	*	921
Agime	44	*
Agin	3	*
Agis	*	3
Agisha	4	*
Agisilaos	*	4
Agit	*	50
Agita	5	*
Agithan	*	3
Aglae	4	*
Aglaia	55	*
Aglaja	25	*
Aglaé	19	*
Agne	25	*
Agnelo	*	11
Agnes	6'073	*
Agnesa	450	*
Agnese	519	*
Agnessa	7	*
Agneta	36	*
Agnete	8	*
Agnetha	6	*
Agnez	*	3
Agneza	19	*
Agni	5	9
Agnie	4	*
Agnieska	6	*
Agnieszka	828	*
Agniia	4	*
Agnija	5	*
Agnije	11	*
Agnita	3	*
Agnès	1'615	*
Agnèse	3	*
Agné	3	*
Agnés	9	*
Ago	*	6
Agon	*	315
Agona	10	*
Agonis	*	18
Agonita	7	*
Agop	*	11
Agosthino	*	3
Agostin	*	3
Agostina	54	*
Agostinha	50	*
Agostinho	*	542
Agostino	*	421
Agoston	*	7
Agota	25	*
Agran	*	11
Agricola	3	*
Agrin	3	9
Agripina	19	*
Agripino	*	6
Agrippina	86	*
Agrippino	*	102
Agris	*	3
Agron	*	933
Agrone	3	*
Agshaya	3	*
Agshayan	*	4
Agueda	40	*
Aguibou	*	3
Aguida	4	*
Aguinaldo	*	8
Agung	*	7
Agus	*	20
Agush	*	21
Agustin	*	177
Agustina	71	*
Agustín	*	15
Agáta	4	*
Agénor	*	12
Ah	18	6
